tijdslider;kvk_rechtsvorm_cat;kvk_SbiNaam;kvk_adres;kvk_postcode
1;B.V.;78202  Uitleenbureaus;Kerkgracht 30 ;1354 AM
2;B.V.;68203  Verhuur van overige woonruimte;Hoornweg 11 ;3042 BC
3;B.V.;86929  Samenwerkingsorganen gezondheidszorg en ov. ondersteunende diensten;Adriaan van Oordthof 10 ;1064 RW
4;V.O.F.;88101  Thuiszorg;Vogelweg 17 ;1826 HH
5;B.V.;88101  Thuiszorg;Jan Tinbergenstraat 20 b;2811 DZ
6;B.V.;88101  Thuiszorg;Schipperslaan 1 a;1906 BG
7;B.V.;88101  Thuiszorg;Lage Kanaaldijk 115 Kantoor 5.03;6212 NA
8;B.V.;88101  Thuiszorg;Lange Marktstraat 1 ;8911 AD
9;B.V.;88101  Thuiszorg;Laan van Vredenoord 33 ;2289 DA
10;stichting;88101  Thuiszorg;Nieuwesluisplein 12 ;3218 VP
11;B.V.;88101  Thuiszorg;Sluysoort 10 ;3602 AS
12;B.V.;88101  Thuiszorg;Kogelvangerstraat 10 ;3014 ZP
13;B.V.;88101  Thuiszorg;Bouwlustlaan 41 ;2544 JN
14;B.V.;88101  Thuiszorg;Laan van Leidschenveen 207 ;2493 CV
15;B.V.;88101  Thuiszorg;Kerkstraat 28 ;7532 AT
16;V.O.F.;88101  Thuiszorg;Neterselsedijk 22 ;5094 BD
17;B.V.;88101  Thuiszorg;Mr B.M. Teldersstraat 5 ;6842 CT
18;B.V.;88101  Thuiszorg;Poortland 70 ;1046 BD
19;B.V.;88101  Thuiszorg;Paulus Potterlaan 8 Unit G4;2902 GP
20;B.V.;88101  Thuiszorg;Lylantse Plein 1 ;2908 LH
21;B.V.;88101  Thuiszorg;Meander 251 Kantoorruimt;6825 MC
22;B.V.;88101  Thuiszorg;Pieter Zeemanstraat 1 A;6533 NZ
23;B.V.;88101  Thuiszorg;Kamerheerlaan 12 ;3451 DZ
24;B.V.;88101  Thuiszorg;Parallelweg 36 ;6922 HR
25;eenmanszaak;88101  Thuiszorg;Bruijnstraat 111 ;3026 VC
26;B.V.;88101  Thuiszorg;Dordtselaan 102 A;3073 GJ
27;B.V.;88101  Thuiszorg;Weerdestein 97 ;1083 GG
28;B.V.;88101  Thuiszorg;Freesiastraat 32 ;2906 CJ
29;B.V.;88101  Thuiszorg;Goudenregenplantsoen 201 ;2982 TE
30;B.V.;88101  Thuiszorg;Albardagracht 82 D;1067 DZ
31;B.V.;88101  Thuiszorg;F.J.Ebbensstraat 31 ;4007 WH
32;B.V.;88101  Thuiszorg;Antje Breijerstraat 46 ;2132 ZT
33;B.V.;88101  Thuiszorg;Wierdensestraat 131 ;7604 BD
34;B.V.;88101  Thuiszorg;Cypergras 52 ;2498 AB
35;B.V.;88101  Thuiszorg;Strekkerweg 81 ;1033 DA
36;B.V.;88101  Thuiszorg;Keizer Karelplein 32 K 2e verdiep;6511 NH
37;B.V.;88101  Thuiszorg;Heeswijkplein 142 ;2531 HJ
38;B.V.;88101  Thuiszorg;Groenestraat 294 ;6531 JC
39;B.V.;70101  Concerndiensten binnen eigen concern;Wilhelminaplein 1 ;3072 DE
40;B.V.;87302  Verzorgingshuizen;Kloosterstraat 10 ;5865 AA
41;B.V.;88101  Thuiszorg;Rokerijweg 12 ;1271 AH
42;B.V.;88101  Thuiszorg;Robert Scottstraat 19 ;1056 AW
43;stichting;88101  Thuiszorg;Ligusterbaan 1 Kamer 2.08;2908 LW
44;B.V.;88101  Thuiszorg;Harriët Freezerhof 183 ;2492 JB
45;B.V.;88101  Thuiszorg;Wassenaarweg 40 ;6843 NW
46;B.V.;88101  Thuiszorg;Lindberghlaan 21 ;5061 SH
47;B.V.;88101  Thuiszorg;Brabantsestraat 16 ;3074 RS
48;B.V.;88101  Thuiszorg;Wierdensestraat 131 ;7604 BD
49;B.V.;88101  Thuiszorg;Heiakkerstraat 18 ;5056 ER
50;B.V.;88101  Thuiszorg;Op de Vey 55 ;6165 CB
51;B.V.;88101  Thuiszorg;Paul Krugerstraat 21 ;4382 MA
52;B.V.;6420   Financiële holdings;Mr B.M. Teldersstraat 5 ;6842 CT
53;B.V.;88101  Thuiszorg;Jan Pietersz. Coenstraat 7 ;2595 WP
54;B.V.;87301  Huizen en dagverblijven voor niet-verstandelijk gehandicapten;Willem Dreeslaan 224 ;2729 NJ
55;B.V.;86929  Samenwerkingsorganen gezondheidszorg en ov. ondersteunende diensten;Spinding 5 ;5431 SN
56;V.O.F.;70221  Organisatie-adviesbureaus;Arendalhof 84 ;3067 PS
57;B.V.;88101  Thuiszorg;De Lairessestraat 180 D;1075 HM
58;V.O.F.;88101  Thuiszorg;Schaepmanstraat 22 ;3027 CD
